column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_hpi
1990:Q2,40.29,40.43,66.84,113,86.58,38.26,31.07,67.9,47.11,37.67,18.98,50.64,152.96,79.72,36.75,29.08,45.38,37.92,52.97,47.58,16.43,,63.98643990476363
1990:Q3,40.02,41.06,63.93,111.94,87.11,37.41,31.68,65.75,47.88,37.82,19.05,50.69,159.06,81.53,37.7,28.88,44.55,38.21,54.01,47.85,16.82,,64.91403209683577
1990:Q4,40.19,42.12,62.01,110.84,87.79,37.33,32.37,64.93,48.67,37.69,19.12,52.3,162.72,85.08,38.46,28.8,42.96,38.17,53.23,47.68,17.15,,65.5422556841933
1991:Q1,40.21,42.33,59.92,110.25,88.93,38.11,33.9,62.97,49.56,37.53,19.51,55.13,164.5,87.3,38.93,28.99,42.68,38.02,56.88,48.07,17.69,,66.29748187055851
1991:Q2,40.71,42.47,59.74,110.49,89.73,38.3,35.36,60.92,49.99,37.1,18.93,56.76,165.39,90.36,39.65,29.36,41.82,37.29,56.62,48.39,18.44,,66.84887624725106
1991:Q3,41.84,43.38,61.96,110.84,90.53,38.25,36.51,57.75,50.12,37.3,19.39,57.39,164.93,89.25,40.54,29.87,41.25,37.25,56.88,48.49,19.15,,67.07718107631632
1991:Q4,41.87,44.54,61.95,109.8,91.34,38.69,37.36,57.44,49.97,37.39,20.12,58.57,163.91,86.72,41.68,30.58,41.69,37.11,56.36,49.16,19.7,,67.31423401973792
1992:Q1,41.59,45.3,61.01,108.31,91.98,38.45,36.34,53.34,49.28,37.14,20.16,60.21,161.84,84.55,43.29,31.23,41.5,37.29,53.75,49.53,19.79,,67.09310917649624
1992:Q2,41.76,46.81,61.1,106.86,92.85,38.16,35.34,51.33,48.84,36,19.67,61.14,159.94,82.95,44.22,31.63,41.01,37.25,52.71,49.55,19.43,,66.77877428618164
1992:Q3,41.78,47.02,60.53,104.69,93.79,37.54,35.08,49.02,48.55,35.61,19.52,61.47,157.83,81.71,44.66,32.45,41.62,37.51,51.14,50.09,19.29,,66.68190981625197
1992:Q4,42.16,47.37,60.37,103.17,94.79,36.72,34.88,48.8,48.4,34.64,20.06,61.91,155.84,81.49,44.62,33.09,41.22,38.14,47.75,50.34,19.77,,66.5282642990858
1993:Q1,42.55,47.42,60.89,101.96,96.03,36.26,34.93,45.3,48.32,35.16,20.29,62.51,153.71,81,43.86,33.65,39.42,38.47,45.66,50.38,20.09,,66.40273259300994
1993:Q2,42.84,49.39,60.79,100.99,97.11,35.74,35.13,45.22,48.08,35.19,20.01,62.35,152.11,80.34,43.62,34.36,40.88,38.65,45.66,50.85,20.26,,66.47939404954471
1993:Q3,42.95,49.82,61.34,99.59,98.18,37.54,35.38,46.35,47.88,35.43,19.87,61.34,150.98,79.18,43.63,35.24,42.7,39.31,45.4,51.26,20.71,,66.57346522236965
1993:Q4,43.33,51.23,61.23,99.35,99.25,39.89,35.6,45.75,47.94,35.17,20.87,60.74,149.87,78.74,43.81,36.21,43.68,40.34,45.92,51.68,21.13,,66.71051671180095
1994:Q1,43.73,51.46,60.81,99.96,100.66,42.22,35.45,47,48.17,35.91,21.67,60.22,148.86,78.7,44.22,37.18,44.56,41.74,46.71,52.01,21.7,,66.924456480253
1994:Q2,44.32,53.21,61.48,100.22,101.6,41.9,35.14,46.95,48.02,36.14,20.96,59.83,148.07,78.52,44.44,38.05,44.41,43.07,48.01,52.33,22.53,,67.09283091910362
1994:Q3,44.98,53.96,61.82,99.86,102.41,41.41,35.48,46.81,47.8,36.23,21.47,59.44,147.56,78.47,44.55,38.79,46.87,44.53,48.53,52.54,23.18,,67.24204649133968
1994:Q4,44.83,54.07,62.31,98.91,103.08,42.2,35.95,45.98,47.8,36.41,20.81,59.5,147.01,78.52,44.52,39.02,48.05,45.93,47.75,52.5,23.56,,67.2641073408335
1995:Q1,45.17,54.26,62.08,97.96,103.61,43.2,36.67,44.7,47.8,36.44,21.79,60.16,146.53,78.47,44.2,39.12,48.52,46.45,47.75,52.79,24.05,,67.43518456589302
