column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,croatia,column_x,aggregate
1979:Q4,40.318305771616316,67.1563821514325,59.43882042526908,92.89261337443129,130.58795598712706,63.66183169500249,36.70765132056349,46.50988708994711,53.40348120964846,32.1220462815531,31.357701881165823,55.59678360519206,94.7516902146176,147.27352123114795,40.01655243404703,57.67694699649163,54.846078811739154,35.16281991563257,86.14208975298239,63.628197343304926,72.82159346350267,92.52419714142643,,71.06841951759414
1980:Q1,41.57904799786145,67.32184503820838,60.79120064655373,94.34943004676106,128.66924237738988,61.092306079293145,35.5253468310922,47.711771745568925,55.17650871486308,32.35491938258249,30.035680480573955,55.56425294727983,95.71492710847252,142.18767172227223,40.4195706833091,55.56077929022197,55.16739285148239,34.37225634723642,83.53317619325712,62.82040396024103,71.76486978068397,89.25702038166283,,70.59469858578265
1980:Q2,42.72635572987068,64.49465508338608,62.303613159362456,95.49532640034623,128.5944548324995,57.30437000419013,34.530641263934264,47.981154665097286,55.610329749601895,32.30077183934817,29.740998146188474,57.710970097082004,96.67534074327044,142.50911744354977,40.37190133525817,52.66136698913767,55.37609608830538,33.90420586234899,81.28718681304957,62.222168085252605,74.14448161822872,87.24717658996605,,70.55795062742828
1980:Q3,43.034704521226416,62.07033209217886,63.419287409765566,95.563421207714,129.53242945102934,56.92224331162398,34.376201901362116,48.317611405437525,55.78465007043457,32.984907896438344,29.553503670683483,57.55357845145757,98.56207569049705,141.222561680777,40.20687952745147,50.45554095466084,54.94209154338616,33.87928624427581,79.3213612997137,62.518614241823656,79.10265492306063,85.31485116216191,,70.9957899741275
1980:Q4,42.62510253635715,59.44930391728897,66.0034624325976,97.02744486894164,130.260274447662,55.65312803734243,33.69063035602966,47.2221233190434,55.91170049534122,31.963233425125548,29.4328656993741,61.80810264872883,100.52198194820572,138.83976498217402,39.92220964994236,49.13937467422897,55.424292537413834,33.852575007161306,77.42607199600936,61.27295040079888,81.83571249336765,83.45654177837187,,70.88541614492193
1981:Q1,44.97573249436613,57.39328748315771,71.60694033994201,98.22419277277847,131.90660522583548,53.72920338231698,33.72690529826691,49.272153228478736,55.62310781968862,31.28437335450604,30.28599132101609,69.16593547277925,102.0340358354782,145.9760686206473,39.71202393855179,47.36146246124582,55.13863156020261,34.29312611999768,75.00451895515535,60.102733270991834,86.0651818700574,80.44293803080745,,71.52386596323554
1981:Q2,45.44988313110523,56.256830642882186,77.09109163321781,99.40703281502263,131.83990904783633,49.72712953724839,32.67894985831324,48.64887044305058,55.07374903077499,31.307319414652042,30.158141889033523,71.97576542236686,104.1486819302778,144.71346267907128,39.06785883462793,45.05161724138979,54.2600185608445,35.62056175083544,73.12398422285418,60.19888153396352,90.38938129408002,79.23799739360675,,72.02023312661514
1981:Q3,43.82159028869153,53.93426907784408,83.65977229330913,99.08713849076308,131.4037968778117,46.80162597745264,32.5514621928508,49.833832457525276,53.94248188626064,31.079202535418247,29.94744804984967,71.72793987109297,106.17315402622656,142.8997812216051,38.17533277258855,42.45236260850048,53.019944401970264,37.08988897711282,71.43892568852915,60.19528529121779,93.6275780508907,78.56774647223246,,72.20919908139729
1981:Q4,44.59641705104028,53.47568755848406,79.15834425615175,99.62788353209817,131.12487410125638,46.5835070793071,31.59579006306589,49.86472515431759,53.31898062592138,29.601441670558298,29.587909723236855,71.77162293679586,107.79369603376934,142.24067689196735,37.04322245154286,39.821115076706775,53.44218705683924,38.92667454231666,69.96061324714363,59.315808108983816,95.57044628771865,78.42178319291246,,71.66123337443231
1982:Q1,43.2638292636364,50.70355101234345,76.16355089554855,99.64566509448082,131.08163253409649,45.01271452208398,31.171759923602476,52.8050990604434,52.368387257247484,28.45769228239199,28.651979379546553,71.46900420534863,109.10664278925555,137.06854925134547,35.06482870425065,38.08106590951275,53.732950319257554,40.823887375436726,68.69839578249852,59.43433156023817,96.99967847587804,81.58655252345963,,71.3533937626353
1982:Q2,43.28115128438241,49.419483832916285,72.59026924502221,98.63531115932047,130.62765058996393,44.01795808485817,30.67500214669244,53.14612984281073,51.49058749185813,29.18080203004732,28.22441860338239,71.37860079910931,110.64112816930303,137.17980617220192,33.97530443332181,37.12545949393956,53.15335447965006,42.22566126513898,67.09647260014874,59.3594736032522,95.65071370804381,81.40297202796131,,71.23982806316974
1982:Q3,41.390744494485055,49.674215637297856,67.89269469057609,97.59594213396426,129.42979308512648,42.30127323991352,30.30311498849555,53.50537205815533,51.20217796006135,29.522292662572948,27.91253318849536,70.1268887548834,111.41005016261587,139.83351706659462,33.09733334364917,36.852224010244925,52.4370834954721,41.957463952911624,65.51055116454194,57.908017184653396,95.56714313325922,80.64893372932315,,70.40428502462917
1982:Q4,40.34096125997071,48.35039864987918,62.05591222112241,97.87427822788216,128.3261926110562,42.79228457122185,29.773181034326356,55.14448041358434,50.89599475539324,29.25750446069109,27.73603611266996,68.15109865763078,112.34243736142888,144.10000157592094,32.381322305249924,36.54275751583685,52.17749661119064,41.43922603557261,63.83666919417267,58.07042388155311,93.91714811858024,79.3412816390983,,70.20337386875059
1983:Q1,40.375792075511455,47.06524344756085,61.70837113539407,98.39320951692773,127.76374910487934,45.89484940595694,29.63498631582256,58.79105677650293,50.40551892781284,30.044741347588587,27.79204868085644,65.3402227797761,113.28059172371859,158.36729565531195,31.811311958110828,36.60994711471954,53.211613808505945,41.98146147335572,61.56154497147794,58.584495095797195,96.99310636583299,76.96762574495801,,70.88302728923543
1983:Q2,41.026344447300836,46.09220504368383,61.687330657499174,98.7186500306515,127.00680460055966,50.522805248093874,29.027164028136358,59.296521154160466,49.585255585775286,30.70953071986312,27.704478286633165,64.03263465044769,114.10789712120948,164.1527357839092,31.384519708909064,36.93736757178193,52.691995253290955,42.240431511791186,60.01335387307288,58.58432767799538,100.43431964149043,74.87214193564783,,71.08856903757372
1983:Q3,40.49993394623825,44.84954746583172,61.64832707060333,100.00121652454936,124.99805188337467,50.51665073729521,28.953318549970874,60.7043240960339,48.88684938908954,31.60208534110282,27.56339823693983,63.527998674867405,114.81694825931415,169.83914750735855,31.072372726544987,36.79914749033234,51.66477435261696,42.851830792653175,59.00062639884121,58.31176113133488,102.40616771825957,72.52885878335651,,71.08133355556608
1983:Q4,40.829574214727465,44.22743228207639,60.76561646941073,100.68624946606934,123.78565457108863,51.27276186491905,28.90873466241841,62.0440300904872,48.5248149526114,31.527891089365944,27.38726679034813,62.14669562690134,115.27303217000164,170.89832705437223,30.873995272805654,36.3175202170297,51.26562727120142,43.741893055037956,58.52848238210115,58.31570404187985,105.45267038954913,69.96714320785125,,70.98638962072378
