column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1991:Q2,56.65,66.7,67.78,79.48,69.87,63.25,49.32,61.98,66.11,52.15,38.51,59.71,95.11,35.54,61.86,60.23,47.89,64.5,65.11,56.52,29.59,,62.31
1991:Q3,57.4,67.67,68.52,80.32,69.28,63.81,50.29,62.62,66.86,54.57,38.88,60.77,97.35,36.88,63.18,60.7,48.64,64.33,66.63,56.92,30.16,,63.14
1991:Q4,57.08,68.61,68.71,81.03,72.08,64.32,51.17,63.07,67.56,55.11,39.24,61.73,98.45,38.08,63.74,61.36,49.35,63.98,67.84,57.61,30.31,,64.03
1992:Q1,58.29,69.61,68.89,81.46,73.44,64.97,51.78,63.3,68.39,56.32,39.32,62.68,99.92,38.8,64.43,63.18,50.07,62.91,68.19,58.81,32.98,,65.16
1992:Q2,58.04,70.44,69.43,81.98,73.25,65.3,52.56,63.41,68.92,57.21,39.77,63.34,97.43,39.85,64.86,63.8,50.78,62.5,68.99,59.52,33.68,,65.37
1992:Q3,59.38,71.19,70.94,82.45,73.84,65.49,53.33,63.38,69.45,57.51,40.3,63.8,97.67,40.9,65.7,64.2,51.71,62.34,69.69,60.05,34.46,,65.93
1992:Q4,59.35,71.85,69.83,82.84,76.66,65.56,54.08,63.18,69.9,58.38,40.92,64.08,99.39,41.94,67.18,64.39,52.31,62.36,70.28,61.11,34.97,,66.96
1993:Q1,59.46,72.17,70.48,83.06,75.27,64.78,55.04,62.63,70.18,59.08,42.21,63.36,98.64,42.51,68.39,63.41,52.79,62.76,70.6,60.34,35.01,,66.55
1993:Q2,59.98,72.8,73.18,83.39,76.31,64.88,55.68,62.2,70.5,61.11,42.78,63.61,99.35,43.73,69.73,63.55,53.17,63.01,69.6,61.47,36.47,,67.54
1993:Q3,59.58,73.47,70.98,83.7,77.4,65.13,56.22,61.72,70.86,61.95,43.21,64.03,99.73,45.13,70.16,63.87,52.98,63.18,71.59,61.66,36.59,,67.86
1993:Q4,60.52,74.17,70.7,84,78.27,65.54,56.66,61.16,71.22,62.77,43.5,64.6,99.33,46.71,69.99,64.36,53.35,63.61,70.6,62.75,37.53,,68.53
1994:Q1,61.88,74.57,71.22,84.12,79.2,65.98,56.21,59.18,71.12,62.34,42.78,65.53,98.82,49.12,70.08,65.38,53.83,63.84,70.84,62.59,38.14,,68.64
1994:Q2,63.21,75.48,71.56,84.46,78.31,66.75,56.77,59,71.53,62.44,43.15,66.34,102.9,50.78,70.1,66.06,54.37,64.41,69.52,63.84,38.5,,69.79
1994:Q3,62.94,76.58,71.5,84.85,79.16,67.72,57.55,59.29,71.97,63.78,43.73,67.23,100.35,52.35,71.06,66.78,55.21,65.06,72.24,64.66,39.62,,70.2
1994:Q4,64.04,77.86,72.19,85.3,81.05,68.89,58.55,60.05,72.52,63.99,44.51,68.2,100.98,53.82,73.2,67.51,55.84,65.87,73.99,65.67,40.81,,71.16
1995:Q1,64.85,80.64,72.44,86.21,80.65,71.33,60.61,63.14,73.78,65.5,46.22,69.42,101.28,54.77,75.22,68.32,56.49,67.27,73.67,66.35,41.98,,71.92
1995:Q2,65.04,81.74,72.76,86.6,81.55,72.47,61.7,64.07,74.33,66.14,47.13,70.48,102.04,56.25,77.17,69.09,57.12,68.25,72.94,66.59,42.58,,72.48
1995:Q3,66.94,82.48,72.6,86.89,81.81,73.39,62.67,64.68,74.84,66.85,47.95,71.55,101.2,57.82,78.65,69.86,57.64,69.14,73.84,67.2,44.75,,72.98
