column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_rhpi
1984:Q1,41.971848699459976,44.21063240075352,67.3345524740335,100.67131613726858,121.99057943988876,52.707200115707444,28.809119329788796,62.35981389582663,47.751908170921354,34.487492478708084,27.55679794735741,64.9867067838358,115.32744316385461,163.9341474599422,30.85991205245077,36.73624839059949,52.2084885952906,46.34124083660629,58.29055940574341,59.940094675787215,106.13963327807309,,72.13179135585894
1984:Q2,42.450536254070464,44.00782776451401,66.97345921645149,102.68145066702554,120.49559391259946,52.83915237408495,28.785107604171166,63.150779567701434,47.37127754131613,34.5871155880985,26.487209474791708,64.58649033140489,115.52306642661274,163.82324048060272,30.838731298926756,36.2257726883577,54.847540285886986,46.68529475502712,57.90508358758228,59.997998838124445,102.56572748554738,,71.98781964073565
1984:Q3,44.296416408122674,43.27340065548313,65.71878654676298,102.55414495949802,119.54710664034121,53.30371451975151,28.83874567649917,63.70631922485702,46.963925842710054,35.16922168009017,25.730293995490715,64.18100234085354,115.80497534961683,163.4552619933998,30.836958138574033,36.43973799736043,57.40362660220157,46.63864168256108,57.41857782608701,60.20539428064883,97.26904148160924,,71.94472530228147
1984:Q4,43.2788931290774,42.65712393152479,63.56269229616218,101.99635494078116,118.42892866226778,55.21566816717896,28.995055844788432,62.74975426438412,46.59172838337754,35.48576584790656,25.24672045353629,63.60192716026629,116.0627482000369,160.99862265873378,30.926061292541757,36.514345359981874,60.22866056154806,46.45364736992518,57.029308890308194,60.58608053907441,91.97223016650027,,71.7646664346955
1985:Q1,44.84345212710959,41.85412484604843,62.742069031664656,104.06711356407835,116.13175052053356,56.09072901167982,29.137571696788942,62.82301901619124,46.18376040350629,35.52726716999418,25.42448173806052,62.394083566776295,116.17645412896515,161.09871585348455,30.58332558553555,35.16373545379592,61.149233614301544,45.44342419268019,56.256588492970145,60.552859706684565,85.52414173744414,,71.4096206619083
1985:Q2,44.03153939735844,41.515616450198266,62.58515542245462,103.04100274664363,115.24586690972386,58.309623206632864,29.3949701952722,63.88459376048418,45.85102119788047,35.95280372687724,25.329327256745035,61.80740807592952,116.71232160151119,159.7778054768349,30.891219456659666,35.89574410100623,61.665356227806164,45.015288257813104,55.96293722503851,60.90246992509611,80.27769984594771,,71.41075202550353
1985:Q3,44.42959943629791,41.99077106707666,62.51375231857484,104.49451754738314,115.42936715774373,62.62151823321545,29.834477434394017,63.82209829160764,45.82707305050218,35.79919245832929,25.32674631923658,61.617137578354225,116.9568844333029,156.41824398122074,31.35761851624711,35.31869555450136,64.43648493174811,45.04191058620711,55.76612858313345,61.55298850289097,76.90797181809738,,71.60765421188994
1985:Q4,44.630038764726514,42.24133504365201,64.2356005181367,105.1216651349743,115.03583275973858,64.26878611251628,30.366699164516408,64.280708559392,45.919287449181,36.811269122731396,25.070096480709307,61.11754378731465,117.2930612972103,153.63303267330465,32.05334099353315,36.287105076445265,69.06638634983267,45.7577356921373,56.027546098881935,61.97757568973789,73.80256963206898,,71.85563216498478
1986:Q1,44.232921132826306,42.48895292633136,64.09937515390436,108.39611148772047,116.02670875709977,67.32149678518407,30.761972393264937,65.3725308305971,46.24151660368679,37.711232319596625,24.82241909277097,60.992982961682976,117.71276349800581,150.61839373128626,33.47530480689105,36.400522637296056,75.58554950522526,45.72307596844149,55.53280098395952,62.534105681170175,67.79734183171033,,72.19680626950125
1986:Q2,45.16834579430992,42.939577653014794,64.49044290128467,107.19671836384434,117.17438661418636,67.67653313900466,31.412695791044385,64.41049583095277,46.52261440394238,38.87114355887667,25.437535254928687,61.381954340914554,118.45709153689043,149.21747651192192,34.290012846429754,36.79448552374437,78.53186680156811,44.965520063668336,55.99225992423626,63.6780515757893,64.49605801261623,,72.94483661634237
1986:Q3,44.507522661814626,43.97444780092988,64.88296336291667,109.27118022221534,116.83603010254458,65.73270563265548,32.427248287368705,65.13262503310098,46.94510494012098,39.71313553653787,24.834399098564923,62.067902872073056,119.26732489662068,146.63247489706828,35.03337338405695,37.967006081346206,79.82134517754206,43.94670083364361,56.67591003334518,64.19145485095355,61.950555777729825,,73.3059652474536
1986:Q4,43.71553565249602,44.47053844583726,65.8567737015599,111.18031667803756,116.71650831406444,66.22226073371944,33.53641779593055,66.01795953218493,47.239119265231075,40.6790588203267,24.37709319707197,62.22913871104453,120.60034549573726,146.56909297029011,35.73250807493686,37.965781836106764,80.07585142473678,42.74768001850946,57.81995474623899,64.94680306790012,61.10429172889747,,73.93452935464083
1987:Q1,43.488492176240555,44.85547443266681,66.78653023650364,111.40677902733296,115.90163990584983,60.47660827115354,34.66152733515154,66.91711480434248,47.57192532376596,41.78743416479877,24.096560657288173,60.04608307152041,122.49390361465106,142.9277293347037,35.707242442659364,38.41344282603595,76.1553766900657,43.721560972738395,59.06095133161846,65.23340976879707,60.018872272313445,,74.09468091025305
1987:Q2,43.30251900555802,44.687860563250105,68.50330305122502,115.30761788342417,115.46785262465374,59.81146676825017,36.285998289005796,66.1466439743389,48.144227101935485,43.14677157009837,23.390862798823967,60.75040567275089,124.41396922534646,141.46544364312936,36.51105208040579,38.737177070980934,81.69146849591117,45.137604713428054,59.79565617469627,65.55500746542359,60.5698397484702,,74.73724033697596
1987:Q3,43.54746960260867,45.047305598756694,70.03005924341758,117.16094231888619,115.02525012391025,58.8728458069525,37.95697379069951,68.76078646480116,48.91293555159616,44.27680456099267,24.13587152101053,61.962126940266614,129.20290976872099,141.75578002400653,37.455588527041115,39.017456441513445,78.95786238705294,46.580350487372584,60.642986253020226,65.58303431354673,60.33701769759942,,75.64868138347333
1987:Q4,44.63057298101583,45.51337836216053,71.20576782379547,118.02842968711592,115.15070336279732,57.79711321305587,40.02011959458939,70.7590526765764,49.85023585587237,46.518821140723325,24.541399315648377,62.475994965549184,131.71596756847129,147.9580230058689,38.56517496895323,39.53721430632273,78.19404265313159,48.29159047297472,62.75011801271183,65.67357262209573,61.16304949153314,,76.6513099743673
1988:Q1,45.70640491375008,46.39120592353704,71.34428848843487,123.18000528353586,116.3043357721031,57.84309445298091,42.056415646296436,71.29669913924768,50.94546877683516,48.48971708836848,24.870716788867547,62.16557234321104,132.82489961048753,151.67032205552516,39.789607440628124,39.07585240478429,78.23288416961164,48.632018408726076,64.36994441247813,66.04365656600874,60.92386971376346,,77.50416427788672
1988:Q2,47.47724961158854,47.87627680549889,71.77454856212185,127.32079042296276,116.20806136005969,57.14590134373204,43.761259909608,75.91185796134607,51.931581872943134,50.45948355910503,24.59155278585716,58.492382652420936,133.93436107913598,156.88369675513852,41.16149228506024,39.886409241367076,76.98764920070641,49.73315367839474,66.20248523856984,66.5497776943113,60.274771837336694,,78.21667402901802
1988:Q3,51.498552890060026,48.361635156205,73.56256399174735,130.7791536125376,115.50680997592525,57.66469140870101,45.05052130680703,78.97045635610995,52.8926421649227,55.774235707507174,26.04613590407845,59.2740789855899,134.61034043469243,161.3686603371175,42.634739248530515,40.43644261030213,77.11674044199245,48.47941950989985,68.89030997418169,66.33048516492394,60.40512375707631,,79.04469809922601
1988:Q4,55.45990761096053,48.35323955840952,74.96591088292149,140.45046956601757,116.46379537739153,57.35809618982108,46.7493899498615,86.62635040562861,53.908256726078505,58.83173510717729,25.380589057211257,62.475067657223185,135.7467937556599,159.1544828825831,44.21927461606577,40.877363625476264,76.40956469006747,48.246378053237386,70.46868566889546,66.55399301716612,59.84230878474311,,80.03031869238035
1989:Q1,59.27066197696136,50.1660403026087,76.89112321169706,140.71646610127002,115.74352708456217,55.835496662628856,48.78503767878508,88.67804832134766,55.10383007002659,59.948501522858514,25.01115300581101,70.26600730239518,138.09093739453854,164.2242880566554,46.373110305253014,41.23461334292697,73.52319749084573,48.52265756723166,72.88831337408999,66.44618712949558,59.99128811707631,,81.21423698182268
1989:Q2,59.093032696920396,51.28508326354298,79.50678379107651,142.8293796746338,115.48105399899706,55.22494615773713,50.60983126265264,93.46431423326584,55.966820059792255,60.784663718442395,25.771595731332035,74.55817715360972,138.73190105407434,171.61542294815465,47.97439778400113,41.614644939100586,69.67699863909321,48.432257454971285,75.04326061971481,66.43502093793153,60.10666539364267,,82.07535728376608
1989:Q3,58.431451106233354,51.87260356316622,78.71364242274828,143.08796042460128,116.04273358825378,53.94246396757264,52.310411828316184,95.77813331204082,56.955027761975906,60.971089429702545,26.115797042618443,75.55167458305046,141.12255573705696,171.46399382964685,49.43016301354724,42.45079156108836,66.94069882937178,48.946193188261844,76.09988707094772,67.34174809553463,60.068616612768594,,82.94164112051084
1989:Q4,57.50492046391926,53.310473252767856,79.85558506298472,143.81454633008082,116.21337946486022,52.88000783789933,53.36824349503288,92.4397279890923,57.87243446386617,59.12287593424422,27.82711031696845,78.64964554841484,144.57409409893737,169.73488537134088,50.736790024142884,42.78564452151587,65.38341065184336,49.04699653452607,75.9696850975573,67.57919873465161,58.87562848047799,,83.56759752839619
1990:Q1,56.93006204210745,55.2230363223128,82.41358153003067,141.05072700552427,113.77447021044576,51.140634441233814,55.10296168291286,90.39814448621163,58.78439098708337,57.524964069181806,28.749497157477713,81.38621446100517,150.05589981938687,175.48657734810715,52.10017044285967,42.60419299246629,63.29740422411624,49.269913034166514,77.86250329691897,66.91704115049716,58.33774106268783,,84.20201395387899
1990:Q2,56.44046787492416,54.662429350701004,84.30154374731445,136.35269417623928,113.70490488554616,49.82837068139297,55.45695633748905,91.0935200518034,59.5916860068762,55.664774557002524,29.622116100862858,87.22553473011266,154.26738221231818,181.3652027674069,53.1948502831293,43.01245318542958,62.56136209747499,49.38286068254316,77.32290955517638,66.43962046873942,58.474190783176034,,84.99486194522355
1990:Q3,55.62743436350053,55.239330234904905,80.45521474041955,134.00342188551232,114.05196195267503,48.793483735058565,55.63340307645218,87.99357454702671,60.12897715128447,54.59763702088397,29.522548262234828,87.87979042511891,159.66297105989045,182.65064286041056,54.0935613284195,41.98033011717086,60.51145959616368,49.35808998279456,76.47588349417288,65.85247381596785,57.847813613925325,,85.26010001163348
1990:Q4,54.50576900635055,56.00679519984329,78.31844594583157,129.56886340537255,113.86295542286484,48.29080449421043,56.16484735087272,84.36876946329659,60.54910124955351,53.296798999835794,28.949582834789393,89.17620854938862,161.43507492578627,186.98790112580463,54.79759676913378,41.51366315070769,57.86177257640317,48.089693619348,74.18442600623978,64.91599369032055,57.271281528913725,,85.05251120777892
1991:Q1,54.462352279254254,56.003763265591864,75.1144327060766,127.13287657738444,114.35326646949245,48.664678522449464,57.85663022766309,82.09713277099088,61.25321884394918,52.36206954604124,29.31620285427028,87.66122679347012,162.18556881766528,184.886327334102,54.9008389656565,41.38781414486966,56.842643619726,48.51862828290431,76.27128531626497,65.04073290181066,56.39032672998833,,84.98078041109957
1991:Q2,54.89291857644847,55.515182994789505,74.60628508183903,126.23286195265679,113.92305288892544,48.709749448922885,59.475522039320424,77.53965959081495,61.41436215672762,50.62533725176153,28.75627520082659,91.15453516867247,162.18555929697138,185.4255470317741,55.59220023411901,41.79876367271162,55.020628182637,47.69937382726409,73.80920259353171,65.0692287149425,56.38970869527188,,85.04249501634975
1991:Q3,56.13257359857674,56.5072866102259,76.081801477338,128.05916480545795,112.81947223675529,48.99058345102207,59.70315220000315,73.6071820580015,61.10672047537854,49.99403614561573,29.325308779274703,92.42011637161457,161.03919072888692,180.50884240477592,56.30395775359712,41.677537249914224,53.9528402249796,47.303277162387566,72.89450118605909,64.54674754658271,56.43548729760942,,84.52163872752125
1991:Q4,55.52178286669149,57.479722430537954,77.4767284979774,123.68582076741528,111.76791246571302,48.88776724594612,61.66865690833175,70.97154853228332,60.575570485880874,49.53325926659213,29.615817274147,93.54841572639131,158.81823946345534,171.5631516754037,57.00541586494139,42.600139568896125,54.57283779051699,47.09759373313654,72.95828878421983,65.08516554245118,56.62767238315074,,84.16082073974054
1992:Q1,55.05321729192131,58.58623581121795,76.86892275451598,120.26626902604896,113.37477445794502,48.5644555727115,57.725657365612136,66.93276446790294,59.06717462829293,48.47735710065395,29.324896924752135,90.7748648076462,156.7545529477594,164.12193849741885,59.031226755531044,43.76093812489509,53.23111376808234,46.73457859915314,69.86453612279212,65.10902535823556,54.08306683057989,,83.21177454217742
1992:Q2,55.20458476381639,59.85186286564409,76.27992138795202,118.55041273682124,112.84144870304554,48.16516338559727,55.56808690404705,63.36587292413303,58.46495982300905,46.785122650235834,29.002503638741448,93.16149397066086,153.78364126677144,156.74169750131026,59.41407088829023,42.349328754939386,54.0222297352356,46.84023719565196,67.70415825817078,64.60593547723884,51.17210847901065,,82.12447337990527
1992:Q3,55.00642832891984,59.80124337646517,75.48703273767865,114.05020681931329,113.51580817744048,47.50816652179376,54.33474779625074,60.47791640409235,57.85644627658603,46.01944701721588,28.726808510808915,94.22100743890688,151.38318035958704,152.44177287858253,59.417922626415326,44.93177537890731,53.215253810695344,47.27654623422042,64.88636475924866,64.80183310237963,48.85353873171318,,81.62930458061261
1992:Q4,55.14519123582382,59.592868242342064,75.84943793987051,112.4824645854779,113.81852855926537,45.75858840882326,53.61741423942495,58.57004439108626,57.447905274784006,44.47953934475527,28.77979542100367,94.30776173255606,149.0901346094455,150.5392524841378,58.95483514006958,45.00521817485415,52.40118447190818,47.63829347006832,60.23729267426859,64.84462762008934,49.319178614693705,,81.11720548600086
1993:Q1,55.483373134409185,59.71703041700757,76.9026278934482,110.58325470477254,113.55918883065367,45.25133019211749,52.759310289628544,54.30689825498883,56.904898645821184,44.42801684959335,28.855761069088594,91.39897132782515,146.79919923215513,147.33911951095664,56.92567606390311,45.3234051954382,50.51737043164801,47.77713988014576,55.60732143064838,64.60858816025171,48.89243643596929,,80.33429433858014
1993:Q2,55.36845226071301,61.11219571797033,76.80839278828215,109.07308120260438,113.8100414083499,44.69338974487511,52.48729482734347,53.31984007939953,56.58735194472424,44.05691432641403,28.88082969160142,90.330960650543,145.06104876119312,142.65487493827678,56.314827728870135,46.150295142219456,51.98774168666903,48.49640362823341,54.4741720204344,64.78870148947354,48.189014667222466,,79.93506859465066
