column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1985:Q3,22.75,27.88,38.76,77.13,81.44,41.06,12.35,38.25,31.48,18.99,13.98,27.06,110.1,53.96,19.74,22.99,35.42,23.59,28.47,36.95,10.24,,46.48
1985:Q4,23.24,28.13,40.09,78.26,81.31,42.19,12.84,38.79,31.81,19.74,14.01,27.45,110.69,53.62,20.25,23.44,38.65,24.37,28.94,37.5,10.22,,46.97
1986:Q1,23.5,28.22,40.76,80.76,81.79,44.08,13.4,39.9,32.14,20.44,14.06,27.86,111.23,52.45,21.01,23.9,42.21,24.8,28.94,38.11,10.1,,47.49
1986:Q2,24.39,28.54,41.19,80.14,81.73,44.4,13.96,39.85,32.54,21.23,14.57,28.29,111.92,51.72,21.55,23.97,45.11,25.16,29.49,38.83,9.92,,48.02
1986:Q3,24.7,29.34,41.9,81.78,81.6,43.39,14.67,40.55,33.01,21.88,14.34,28.74,112.52,51.37,22.05,24.53,47.33,25.74,30.21,39.43,9.86,,48.52
1986:Q4,24.81,29.86,43,83.3,81.41,44.15,15.4,41.31,33.54,22.6,14.15,29.2,113.77,51.08,22.53,24.76,48.56,26.31,31.21,40.19,9.93,,49.17
1987:Q1,25.08,30.38,44.09,83.64,80.52,40.89,16.08,42.29,34.04,23.66,14.03,28.84,115.21,50.91,22.54,25.19,47.05,27.71,32.3,40.9,10.27,,49.72
1987:Q2,25.4,30.46,45.6,86.69,80.45,40.95,17.05,42.01,34.7,24.57,13.69,29.42,117.89,50.55,23.12,25.35,50.89,29.14,33.14,41.47,10.71,,50.56
1987:Q3,25.97,30.83,46.95,88.3,80.58,40.75,18.06,43.94,35.48,25.41,14.23,30.09,122.65,51.56,23.81,25.42,50.08,30.57,34.07,41.91,11.09,,51.65
1987:Q4,27.03,31.2,48.23,89.29,80.9,40.39,19.27,45.81,36.35,26.99,14.6,30.86,125.1,54.37,24.62,25.77,50.7,32.04,35.75,42.33,11.61,,52.61
1988:Q1,28.21,31.77,48.74,93.51,81.73,40.77,20.41,47.01,37.36,28.61,14.95,31.73,125.72,56.88,25.56,25.9,51.66,32.81,37.22,42.93,12.03,,53.47
1988:Q2,29.81,32.88,49.55,97.43,82.3,40.69,21.52,50.28,38.36,30.2,14.93,30.1,126.99,59.27,26.62,26.42,51.4,33.85,38.86,43.74,12.29,,54.35
1988:Q3,32.84,33.43,51.39,100.4,82.94,41.54,22.47,53.02,39.44,33.66,15.98,30.38,128.11,61.66,27.76,26.91,51.67,34.08,41.06,44.14,12.75,,55.35
1988:Q4,35.9,33.76,52.93,108.67,83.64,41.88,23.67,58.72,40.59,35.87,15.75,32.57,129.84,62.05,29.01,27.19,51.45,34.34,42.64,44.71,13.2,,56.49
1989:Q1,38.88,35.49,54.63,109.21,84.89,41.39,25.18,61.12,41.96,37.23,15.71,38.31,131.97,64.67,30.68,27.64,50.38,35.03,44.79,45.18,13.6,,57.85
1989:Q2,39.59,36.67,57.43,112.51,85.52,41.41,26.55,65.16,43.1,38.47,16.34,41.04,134.61,68.68,32.01,28.08,49.06,35.49,46.93,45.77,14.23,,59.16
1989:Q3,39.79,37.45,57.55,113.44,86.03,40.76,27.89,67.55,44.2,39.05,16.67,41.14,137.44,69.48,33.26,28.76,46.98,36.16,48.53,46.65,14.75,,60.15
1989:Q4,39.71,38.8,58.81,115.81,86.42,40.13,28.91,66.07,45.25,38.56,17.86,43.59,141.69,70.76,34.45,29.02,46.46,36.84,49.5,47.18,15.08,,61.25
1990:Q1,39.97,40.47,61.29,114.94,86.03,38.28,30.34,66.52,46.2,38.27,18.51,48.36,147.63,74.69,35.7,28.94,45.84,37.45,51.92,47.42,15.71,,62.66
1990:Q2,40.29,40.36,63.29,112.3,86.42,38.32,31.02,67.68,47.11,37.87,19.15,50.64,152.96,78.89,36.78,29.36,45.55,37.96,52.87,47.6,16.43,,63.84
1990:Q3,40.13,41.11,61.11,112.25,86.93,37.54,31.61,66.02,47.91,37.77,19.2,50.69,159.06,81.48,37.73,28.78,44.6,38.24,53.69,47.78,16.82,,64.77
1990:Q4,40.11,42.04,60.29,110.54,87.56,37.26,32.42,64.24,48.66,37.59,18.94,52.3,162.72,85.51,38.56,28.69,42.88,38.2,53.67,47.73,17.15,,65.49
1991:Q1,40.21,42.41,59.13,109.45,88.65,38.01,33.91,63.73,49.54,37.46,19.32,55.13,164.5,87.64,38.86,29.02,42.57,37.88,57.03,48.12,17.69,,66.28
1991:Q2,40.67,42.38,59.16,109.97,89.41,38.33,35.41,60.73,49.98,37.28,19.08,56.76,165.39,89.54,39.7,29.42,42.02,37.36,56.45,48.43,18.44,,66.8
1991:Q3,41.94,43.42,60.8,112.85,90.18,38.41,36.11,57.93,50.13,37.22,19.6,57.39,164.93,89.32,40.59,29.72,41.19,37.3,56.51,48.41,19.16,,66.98
1991:Q4,41.8,44.42,61.63,110.25,90.94,38.62,37.89,56.9,50.1,37.38,19.95,58.57,163.91,87.07,41.52,30.61,41.57,37.11,56.77,49.2,19.7,,67.34
1992:Q1,41.61,45.47,61.48,108.19,91.39,38.32,36.11,53.91,49.1,37.05,19.91,60.21,161.84,84.77,43.49,31.77,41.49,37.15,54.03,49.6,19.79,,67.1
1992:Q2,41.75,46.72,61.29,107.61,92.28,38.19,35.29,51.23,48.88,36.12,19.83,61.14,159.94,82.41,44.24,30.89,41.25,37.33,52.47,49.56,19.43,,66.74
1992:Q3,41.79,46.99,61.16,104.03,93.3,37.72,35.01,49.09,48.61,35.54,19.76,61.47,157.83,81.77,44.69,32.9,41.48,37.58,50.82,50.03,19.29,,66.66
1992:Q4,42.11,47.2,61.76,103.43,94.45,36.65,35.02,48.44,48.43,34.69,19.9,61.91,155.84,81.68,44.79,33.15,41.09,38.11,48.03,50.38,19.78,,66.6
1993:Q1,42.62,47.73,62.92,102.15,96.21,36.11,34.87,45.74,48.23,35.05,20.04,62.51,153.71,81.02,43.73,33.55,39.44,38.32,46,50.43,20.1,,66.53
1993:Q2,42.83,49.26,63.25,101.78,97.42,35.8,35.13,45.12,48.11,35.25,20.16,62.35,152.11,79.96,43.66,34.32,41.18,38.73,45.42,50.87,20.26,,66.63
1993:Q3,42.92,49.7,64.52,98.47,98.57,37.73,35.31,46.38,47.95,35.39,20.1,61.34,150.98,79.27,43.69,35.26,42.46,39.42,45.09,51.2,20.71,,66.72
1993:Q4,43.31,51.06,64.59,98.91,99.65,39.79,35.61,45.5,47.91,35.25,20.72,60.74,149.87,78.85,43.75,36.2,43.51,40.29,46.19,51.7,21.13,,66.9
1994:Q1,43.79,51.9,64.62,100.77,100.83,42.05,35.52,47.45,48.11,35.8,21.46,60.22,148.86,78.65,44.33,37.26,44.7,41.55,47.11,52.08,21.7,,67.15
1994:Q2,44.29,53.05,65.22,100.5,101.72,42,35.05,46.81,48.06,36.17,21.07,59.83,148.07,78.35,44.47,37.87,44.71,43.16,47.71,52.34,22.53,,67.27
