column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_rpdi
1980:Q1,72.92253945480633,76.83806763575204,77.78607440039157,76.07553914141415,74.61879149310758,76.95267464494975,69.67961711978,57.75426002935421,72.35549402293242,49.924166666666665,53.176194500081685,76.13308954524145,67.20098631239935,32.723878356331326,49.14383069999055,81.4715974075486,58.16180098684211,72.68281592975855,77.68319876900796,62.77518345563709,114.67515750682324,,66.14335539634149
1980:Q2,74.24747629083247,77.22174220963171,78.05278373867431,76.67534590931905,73.57444116501013,76.50246965394767,69.29227174920544,58.300163601624085,72.4910447761194,50.148436901177114,52.885530262153026,78.09263433515481,69.15324393939395,32.35503351658972,50.228871733057126,78.82899628252788,58.21259936406995,71.77121936640765,77.34689933356717,61.65870603560573,101.39776774848164,,65.77241181662878
1980:Q3,73.84907140405082,77.41568150208622,77.87261102069284,76.43581498521196,73.32165852375596,76.00313768328881,68.99323154487948,58.236022569444444,72.75712641031545,50.7768624296058,52.79977142243102,77.98920973298881,68.92274106822798,31.755284961279635,51.11281261223012,77.51739289637496,58.949446664617284,72.03368436237739,77.1710861423221,62.04921510394569,96.57250485413965,,65.79797357091485
1980:Q4,74.60608797850907,77.41476807639836,78.16670433996381,77.51159340659342,73.37708061886941,75.43353259263588,68.81471944371124,57.98995964125561,73.0406034868127,50.358947368421056,52.813660862259404,79.78724217118999,68.44641839148433,31.143100413991093,51.629674879728604,77.02898550724638,59.54879020138263,72.89906940945984,76.75002808988765,63.09252742703374,97.14348898402275,,66.25505807033727
1981:Q1,74.09534601508692,77.12938669786095,79.55354755643215,77.62730713480431,73.48166251445241,74.2017532135381,68.84177208648083,57.74778034300792,73.59061094290658,50.40774046957839,54.68047685766174,81.32340263894443,68.5978171315206,32.86493105154929,52.52204428523456,77.5462962962963,59.76193298214809,75.0390049140049,76.21270218228499,62.74747474747475,97.53767497769627,,66.37883990061329
1981:Q2,75.39923126407204,76.8187295260974,79.61579664458218,77.4454780167642,73.21794314408386,74.00116221294132,68.72385437705412,57.45673931533064,73.63306312919464,49.62082901554405,54.57030126019004,81.94674731182796,70.79402128523374,32.94127305980668,53.21194913715197,77.29748726058689,59.07894514767933,74.61507419942724,75.69647940074907,62.5273196900457,95.88852144938554,,66.51285847716538
1981:Q3,75.36080604534004,76.47266445253909,79.76331300813008,76.91996403712297,72.74699612075435,74.12966600525408,68.63942381944386,58.20088419732441,73.16263790664782,49.43289071965108,54.23792091957582,82.28370848708487,70.36403622771708,32.91018382484646,54.31597579797264,76.77954388389772,57.939287638028546,74.96270440251573,75.19415551839465,63.714565004887596,96.75490983306305,,66.86437819148153
1981:Q4,76.33906748466258,76.06347791798106,80.18360157367667,77.16583346077381,72.14565751873201,74.53047467054333,68.5855857437068,58.779283377632396,73.222524500196,49.83589689265538,53.59642277369712,82.14886685552409,71.14202936145952,33.333842440504,56.02625542790904,76.05013550135502,58.95723930481284,75.599107361213,74.80124888691007,63.62410937800886,97.11629825642254,,66.94663294543939
1982:Q1,75.7408953209358,75.33059944237915,81.42436686686685,77.50598204857444,71.6193763532915,77.08945470755297,68.60566298063209,59.811796781287484,73.5912907220423,49.068681974741686,51.78521877650831,81.28208744470909,70.46479791690253,34.44852557299412,57.31923173189053,76.60965794768612,59.13663962313531,77.09554989333967,73.97973642172524,63.51017303669899,99.31620924068677,,66.82071165393342
1982:Q2,77.11219865418374,74.91036381165007,79.86567479595801,77.45152606105734,71.07496192115643,77.43083962397421,68.52570005719002,60.3579224457902,73.39881181700316,50.322321550741165,50.96854455686496,81.70323170731707,71.71611085998418,34.847478841990736,58.65926467548507,76.54197838736492,58.232957693276255,75.31228851793368,73.61540141843972,63.75965341872292,95.93600615641873,,67.04129772108341
