column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,south_africa,column_w,aggregate_pdi
1986:Q4,41.92090232718049,51.073200628465905,53.47508881198328,60.44961292992726,53.97637450025386,54.20987892889699,31.52304604362733,43.88054121360125,51.935083458003454,33.82676630461446,29.691523052050915,40.42252162628186,75.51382113848847,17.885180802034228,41.39477181561844,50.250549015021576,36.89040317177118,46.83843224716287,41.9453197643643,44.450046867827844,15.06899582022759,,47.33293002513646
1987:Q1,41.80499960842163,50.78164609163676,54.694513433532364,61.140686132579795,54.36894081016687,53.754469700925874,32.123266003088105,45.1451569696272,52.06341803580757,33.99517612180007,30.32412377634521,41.12599376275129,75.8248231867983,18.469201481428613,41.40236282222823,50.09851201397149,37.517558908388274,50.01245195908289,42.38076069433642,45.1754232123561,16.79036309708124,,47.883581221104016
1987:Q2,42.97006732952035,51.095390590719006,54.98954850814608,61.897621514579136,54.85111538744856,54.171754257785516,32.796330165201745,46.03241019975645,52.56921146331981,34.59751099128164,30.741173644164586,41.94574722997285,76.30153813173995,19.133385462805443,41.587160917364265,50.18476911589326,38.14479353969234,51.867022648151355,42.98601422263944,44.94396680915624,17.21989689067822,,48.12762276993534
1987:Q3,44.1641869423892,51.459346373167115,56.043119928593704,62.68978430852797,55.40851781838393,54.69728912037733,33.52209707278051,46.8936518465395,53.161408157416005,35.33608840999753,31.163160274512446,42.80595511988427,77.07899155420607,19.833375149585812,41.75513615776878,50.29950764694243,38.74456006243304,53.64623265329281,43.63209792998353,46.084255010881094,16.491511674665674,,48.999962780596256
1987:Q4,43.82321153924879,51.90902531126852,56.823907263288646,63.50860940116856,56.02473678410981,55.36340533778162,34.239343547602736,47.71234403216237,53.84169799539107,35.81709328070768,31.563948470538165,43.71624415461349,77.99697373283134,20.568094049873288,42.27170387280462,50.42150660405787,39.353921038840966,55.01226277666961,44.25628111456315,47.026336396954726,17.484480960482504,,49.78641625426764
1988:Q1,45.30412534932658,52.32861485983667,57.073187502530004,64.38756190354576,56.726325482893486,56.48721918560751,34.967539961213554,47.83400865660187,54.61780158203491,37.26753892194539,31.7585809818665,44.62601167644008,79.0577861522337,21.458256558531243,42.76904791703044,50.10401497559797,39.96027920720935,55.99319015937005,44.92266639540343,47.91501872571978,18.37557551899666,,50.65707603302197
1988:Q2,46.076420008323346,52.990905271284674,59.066747515801254,65.29228670196842,57.43786292115471,57.29756629421217,35.75439823670663,48.77129018652226,55.44079307763176,38.20242657029964,32.22056075365998,45.62375085462091,80.10501584176458,22.2129354538665,43.58927344281883,50.4611848621618,40.56561124023727,57.10935201182713,45.66072270436148,48.77433117801144,19.114312850619385,,51.55466000355024
1988:Q3,46.109354759147344,53.75477982449376,61.00066882172131,66.2388832264838,58.19975715918631,58.075764957615746,36.612974993093744,49.912851919277266,56.33358885045122,38.89712203649615,32.77462234481428,46.652233740071786,81.27076143108783,22.953528472223745,44.49405075065306,51.00060562099039,41.13238911185499,58.043873246379576,46.45473259623496,49.619822200522414,21.4533158487457,,52.46629781497099
1988:Q4,47.71485903093844,54.642806476481084,62.441858448173335,67.20133579307566,58.86579417798057,58.87495080868261,37.49513010091378,51.258640639827256,57.30488451777651,39.73231626368177,33.39026162655996,47.73337939481498,82.33804448633082,23.682041864004105,45.80878050902028,51.74432192460243,41.750602252440295,58.7555667400315,47.27372958870639,50.440495855382956,21.07107343622284,,53.35296841419135
1989:Q1,49.39394630328463,55.78906169209052,63.35933854316895,68.24390931542905,59.5764317858753,59.926958329343144,38.40750542611594,53.595423910182255,58.6251269709543,40.9103356471031,34.52773970518929,48.94364160843487,83.42822738897658,24.148524006714705,47.24753596511201,52.8740958182225,42.38844112420859,58.86148441779196,47.89657507184762,51.50709956284105,21.84382553176127,,54.39913229059857
1989:Q2,50.793847262535564,56.87021012329621,64.62413818808,69.2887650467363,60.46084843485139,60.61385992578906,39.41594185156216,54.992502850780646,59.62045264366455,42.04529408697427,35.152558166660015,50.062960163607265,84.78513648260873,24.94788918269306,48.58501761704971,53.91969689894313,43.03807382972664,59.50455119444005,48.93601989773186,51.84949901806723,22.235245407686584,,55.186076325911635
1989:Q3,50.96402811319163,58.00470646739355,64.46563132558049,70.38308334677099,61.50841231997753,61.136104544640254,40.512194828756996,56.28225412172455,60.57772841875907,44.179939526092184,35.72417528028916,51.15609701493938,86.30172139219565,25.82710693469674,50.062988271269056,54.98653765297286,43.68249948958809,60.27954315120204,50.20008996948627,52.33632691967375,23.961085076536694,,56.069408912612595
1989:Q4,53.219941417874416,59.20141606832419,65.35693547632664,71.48463761184195,62.4382331822327,61.53783673504798,41.66522733819315,57.45339201393922,61.50039643046795,44.46929949710461,36.20315287697372,52.25407328819736,87.77329399643249,26.783754201294506,51.295436632302774,56.12307665189004,44.36761938596509,60.90342834075095,51.63172305468457,53.0453505722088,24.166091160233623,,56.97974406055801
1990:Q1,54.44465588879697,60.740225713419996,67.15043687588201,72.72410001744467,63.723898880760274,61.25412060297147,43.158592325899164,58.25409528390763,62.39361701744734,47.5609811176358,36.5121769417087,53.15997118161098,89.43177355802608,27.648648692473042,52.775321805335125,58.03547003884159,45.05291001281625,62.4041485525257,53.61228193833943,53.84182181239203,24.454638403180795,,58.18419477817816
1990:Q2,54.969926707537425,61.95068236352244,65.47515245791195,73.88811662153395,64.94096295986594,61.64607402254233,44.37295445703573,59.2676593730636,63.23585905143428,47.58785947911295,36.9139358727294,54.3067642627732,91.17695274416923,28.837336117608697,54.12843146377006,59.05379494775604,45.755366464355475,63.05792987280371,55.333083894008055,54.655009303289845,26.24964369772491,,59.07318741674111
1990:Q3,54.80230106972526,63.10303635672813,67.04156069437293,75.08969547656457,66.12444890696776,62.12077762055196,45.56574662372735,60.3028613060859,64.04732525136723,48.284160432022425,37.32491168358982,55.492055423407805,93.02875184542856,30.181412066677137,55.73601200880007,59.70093581747116,46.43789976773349,63.44932263821936,57.20474598047553,55.25069265904702,27.469218526186417,,60.0237598004106
