column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,south_africa,column_w,aggregate_hpi
1980:Q1,13.62608069305583,31.06503891601428,29.51142102183878,56.844923806962605,73.99392989602781,26.193183737381133,7.8565154289375165,18.318715490128767,22.46128620836614,12.66259119007544,9.052408920064734,12.425415918351286,78.03447096506909,31.66415759035052,16.96685845739531,29.953851226566016,18.792174336497716,9.623062574025788,26.143695164892424,28.934757864636317,4.568119671867461,,35.0065099719549
1980:Q2,14.29458065354171,30.27797160653219,30.811306789694243,56.973056267432014,74.98502853512471,25.224222192638756,8.00991798495681,19.03337053775548,23.325488520543743,13.08564819735886,8.96911492283554,13.313811840518426,80.54832199361445,33.54393123046182,17.28436027004403,29.08960043347978,19.50059166698453,9.884253286020723,26.28756849847814,29.257111171797106,4.876950297571176,,35.772114957822474
1980:Q3,14.791576367597907,29.680525602788016,32.21474064183873,58.43346719544991,76.2698349311877,25.91479539612404,8.149661434494904,19.871807835802606,24.159529318822624,13.443634617700228,9.33666158188888,14.336222996675689,83.13805516302263,35.38288144065975,17.543212270111688,27.56309897636601,20.00949581415051,10.235307275630957,26.3480872188032,30.0948419676669,5.34019623612675,,36.791195140188904
1980:Q4,15.01101948468234,28.975657676841497,35.140609230689314,58.41773483198023,77.75797851869713,25.904363102241522,8.299248423422464,20.25586952460216,24.874563632139477,13.575214278860377,10.212268678822022,15.38865775249636,85.55494089936792,37.238552892227524,17.77650946059183,27.81986257028392,20.672898747865176,10.60297073605293,26.339609438588518,30.369627369376314,5.8291780601576315,,37.62646839984439
1981:Q1,16.14010054594363,28.548645239083783,38.69926907466719,60.777132486399566,80.84457941361829,25.660179595277228,8.47575693248657,21.00032053655764,25.528784492622073,13.766914405311818,10.773975145219849,18.576862028455295,87.85816007925882,39.974296588433184,18.000623349994108,27.65801151511772,21.070365670801085,11.030107538793862,26.03801568556059,30.502084538367463,6.343895769663824,,38.71954366209536
1981:Q2,16.5691454725915,28.560714277817638,41.68759168262171,63.78096217438756,82.30839593673575,24.469113410096842,8.641685673805007,21.708680244532864,26.087790938028498,14.035949327582129,11.148830503672224,19.653192322552908,90.07887389865404,41.483549641496595,18.105669488399652,26.1323370802529,21.50773788497951,11.92093611168133,26.01246979227041,30.982878466569247,6.871481421907672,,39.60168859878713
1981:Q3,16.46064731531287,27.89713296006143,45.544822927041004,64.02991093029776,83.58813428928543,23.919142741079817,8.79041639512473,22.70448039953398,26.607405319767004,14.063129763654578,12.054334427643516,20.694184774382524,92.23014575997706,42.53214507262942,18.099085051417084,25.135451110811537,21.965818884924275,12.85196848698203,26.002917628300747,31.49391792984369,7.411935016889174,,40.44316871190779
1981:Q4,17.22297132624559,28.181719094173964,44.40366167605159,65.51121758514317,84.55522328591232,24.312323875457086,8.938046071956494,23.442202374906326,27.03052409753441,13.933992561747921,11.596739059978246,21.519257508238933,94.258055713214,43.20957613258879,18.051417153852228,24.00092717975941,22.357457128550315,13.949166716223656,26.026757416797135,31.66047013688562,7.862313012707092,,40.914967402386324
1982:Q1,16.964299139129068,27.210825657313976,43.81543721261636,66.63342899720826,85.25384012756724,23.94208568855969,9.076571126507591,24.732815027459473,27.258950543970982,13.74699342157562,12.023012813370709,22.3339429346946,96.21068246695012,40.96465846600798,17.551103177507468,23.109148069885794,22.951802576082247,15.122985740008044,26.23180378901194,32.02955055633272,8.184011581148463,,41.308980777696625
1982:Q2,17.310485035360987,26.986505244623086,42.55527685928274,65.98579926246221,85.75253683915412,24.01399067950093,9.23247114549098,25.83999686121025,27.613255812410813,14.230538175350995,12.513509849382011,23.022362826727786,97.93974397128763,41.84063973729428,17.4607563895575,22.67882245964805,23.59401948283244,16.31343518800163,26.28046238196247,32.237845405785926,8.454238378639213,,41.737111388811165
