column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1986:Q4,74.78,76.69,81.25,81.69,76.71,80.1,69.04,68.24,73.02,57.28,51.11,85.94,78.61,51.21,66.41,78.19,59.98,76.96,78.89,71.83,92.69,,72.99
1987:Q1,73.33,75.61,82.19,82.45,77.61,78.34,69.55,69.53,72.66,56.22,51.98,86.45,78.16,51.92,66.38,77.53,59.86,79.69,78.6,72.05,98.14,,73.14
1987:Q2,74.12,75.56,81.91,83.35,78.07,77.94,70.16,70.57,72.74,57.56,52.45,87.04,78.99,53.65,66.45,77.82,60.35,81.19,78.71,71.04,97.42,,73.11
1987:Q3,74.91,75.81,82.9,84.2,78.45,77.86,70.81,71.44,73.15,58.01,52.79,87.42,79.9,54.63,66.49,78.34,60.22,82.52,78.79,72.11,89.71,,73.79
1987:Q4,73.22,76.34,83.23,85,79.03,78.04,71.51,71.72,73.72,58.36,53.02,87.92,80.45,56.03,67.01,78.48,59.84,83.87,78.86,72.95,92.14,,74.43
1988:Q1,74.3,77.05,82.9,85.87,80.1,78.96,72.38,70.6,74.38,59.57,52.76,88.66,82.15,57.11,67.41,76.76,59.65,83.51,78.79,73.7,93.05,,75.26
1988:Q2,74.38,77.78,84.95,86.38,80.46,79.26,73.09,71.68,74.91,60.77,53,89.41,82.68,58.65,68.28,77.31,59.88,84.62,78.93,74.21,93.75,,75.91
1988:Q3,73.31,78.39,86.72,87.35,80.37,79.43,73.79,72.38,75.41,61.15,53.35,89.98,84.05,59.92,69.23,77.76,60.53,83.47,79.09,74.57,101.62,,76.55
1988:Q4,74.84,78.89,87.84,87.95,81.27,79.43,74.46,73.61,75.92,61.75,53.78,90.66,83.78,60.6,70.71,78.9,61.12,83.92,79.33,75.08,95.51,,76.99
1989:Q1,76.46,79.52,88.55,89.01,80.7,79.67,74.77,75.66,76.87,62.26,54.88,91.31,85.15,61.28,72.29,80.12,60.98,83.99,79.03,75.75,96.35,,77.67
1989:Q2,77.05,80.15,88.84,89.05,81.01,79.63,75.52,76.79,77.37,63.15,55.39,91.91,85.11,62.32,73.69,81.08,60.25,83.93,79.4,75.26,93.91,,77.7
1989:Q3,76.2,81,87.57,89.87,82.22,79.7,76.37,77.7,77.92,65.63,55.9,92.73,85.93,63.74,75.31,82.33,61.36,84.28,79.88,75.55,97.6,,78.37
1989:Q4,78.31,82.01,88.17,89.89,83.38,79.88,77.31,78.26,78.5,65.09,56.39,93.16,88.41,64.26,76.52,83.93,61.56,83.69,80.47,75.97,94.34,,79.1
1990:Q1,78.61,83.56,89.79,90.44,83.74,80.62,78.79,77.01,79.22,68.51,56.62,91.03,88.6,64.99,78.04,86.82,61.32,83.25,81.51,75.97,90.8,,79.48
1990:Q2,78.17,84.59,86.75,90.89,84.77,79.31,79.73,77.66,79.92,67.59,57.03,94.64,89.2,66.32,79.36,87.77,61.94,82.93,82.11,76.29,93.41,,79.97
1990:Q3,77.09,85.47,87.79,90.72,85.91,79.3,80.59,78.25,80.22,67.57,57.35,94.98,90.47,67.68,81.02,88.35,62.12,82.6,82.69,76.14,94.48,,80.33
1990:Q4,77.43,86.21,87.92,90.4,86.37,79.62,81.36,78.42,80.6,68.05,57.62,95.67,92.8,69.29,83.22,88.2,62.72,80.88,83.05,75.44,93.06,,80.56
1991:Q1,76.09,86.74,87.14,91.19,87.15,80.23,82.35,78.82,80.88,67.63,57.84,94.38,93.2,71.83,85.25,85.48,62.99,82.74,84.63,75.53,91.42,,80.67
1991:Q2,76.46,87.38,85.2,91.23,89.16,80.39,82.85,79.15,81.23,67.72,58.02,96.86,92.81,73.59,86.72,85.57,62.71,82.36,85.13,75.94,90.5,,81.12
1991:Q3,76.82,88.06,85.48,91.15,86.48,81.41,83.15,79.58,81.51,69.93,58.16,96.76,94.26,74.54,87.73,85.13,63.71,81.59,85.95,75.89,88.85,,81.28
1991:Q4,75.83,88.78,86.09,90.91,88.21,81.43,83.28,78.68,81.69,69.72,58.26,97.66,95.17,75.03,87.62,85.37,64.8,81.21,87.19,76.21,87.12,,81.73
1992:Q1,77.12,89.69,85.8,90.55,90.09,82.37,82.77,78.6,82.27,70.58,57.91,95.45,95.95,75.11,87.55,87.03,64.25,79.14,88.17,77.19,90.12,,82.42
