column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,netherlands,norway,new_zealand,sweden,us,column_u,oecd_19
1979:Q1,37.0885463924347,66.2948613886681,64.7820619341156,91.7731893972557,132.072663543418,64.3788504258118,37.7930222873158,46.4798697378791,51.5809608760286,32.5905866808243,30.091240847755,55.9141123664369,91.8901893328899,136.387098303659,64.3979297971002,55.2991935293567,40.0857838336483,90.0433064127694,65.3326835627718,,71.5975754485896
1979:Q2,37.0109055086905,67.2849941053844,65.5429111379582,91.192051419953,131.535856017633,65.3737860062536,37.8241611155006,46.176097241669,51.7974647900666,34.0696938427905,33.8817737673031,56.5389257466264,93.1059670079799,138.181474890339,62.2178676882897,54.9683249637372,38.7904356471116,90.2116295878901,65.2456817623117,,71.8862294872164
1979:Q3,38.789296913569,67.1925858208774,67.2316018998904,92.8259525372276,131.033644155789,65.254518487313,37.5148639754967,46.6263040563327,52.1595676363299,34.0317178464567,31.8176457873592,57.4089809416799,94.49389564939,144.159248405926,61.1107921138669,54.8435336345204,37.4646598131688,89.4578428293139,65.1399245965022,,72.3139908985474
1979:Q4,40.4693685772693,67.1480611484108,69.758598268798,94.7770262582032,131.352247411656,63.5324653289736,36.9164559078512,47.0468268489831,53.0974252794346,34.9443155615255,31.6975748215493,58.1382382188059,95.7291806645505,145.84860711119,59.1442662333078,54.8898105874818,36.7302872795037,87.9141964798366,65.3227287534349,,72.8447945570048
1980:Q1,41.5196190670073,67.3469138177663,71.3304413144704,97.4294164868341,128.15894702065,60.9882039853135,35.4790364128004,47.1724664806385,54.8215850599152,35.4483249794346,31.192019951643,58.2564413550141,96.7305089212745,140.448194044374,57.0936914509181,54.9839079436814,35.9513946348612,85.4006373057602,64.3270628118217,,72.221340459767
1980:Q2,42.64019172462,64.4839252895657,72.5162932826395,96.9840491354208,127.922146905277,57.2605313279704,34.9065653160394,47.8539377510904,55.3123593599601,35.3293523167318,29.5602863737267,60.6170038317828,97.7134603146862,141.361908762782,54.0733922808746,55.5645423388435,35.1883621153984,83.2073858300597,63.4790256878602,,72.0697500252354
1980:Q3,43.1310118037644,62.0726589751178,73.7757545800501,97.5337782253438,128.718945573835,57.2699195063915,34.3038015924522,48.4284156039753,55.639811128827,35.589432788007,29.3867782895359,61.7466497151497,99.4161663010316,139.907276282873,50.466656909838,55.4069045271199,35.1832056890244,80.9309706174007,63.8098335465954,,72.4544311486584
1980:Q4,42.8129766359432,59.4475117646191,78.0651573064427,97.4917563129475,129.585763427599,55.6509174893225,33.7393970201155,47.81266912031,55.6090814948744,34.7126374933231,30.6276696234668,64.256474737681,101.252801005731,137.516440276549,50.3959833972238,55.6116817608257,35.3562440095867,78.5360241700677,62.8415391209877,,72.42509351453
1981:Q1,44.9623633450818,57.3879359089224,83.2530917283662,99.3951452208246,131.536321350467,53.5240363838937,33.4643354317229,48.6161943426829,55.2405068883553,34.3598774449585,30.7573081481938,74.2664563266348,102.572766520046,144.179871007001,49.2499249870407,54.905700966556,35.8721468044397,75.3875517826155,61.5856968309611,,73.1267239508782
1981:Q2,45.2694525270442,56.2825403203122,87.482795281035,102.676237075713,131.535541252768,49.6027751443743,33.0032178942753,48.5965191711606,54.7515539454221,34.1612401360646,30.4958298141055,75.4766027863741,104.5186273327,143.539667369155,45.9166511354731,54.2834138171344,36.9762268431468,73.2495065155836,61.5081243176832,,73.3924609830028
