column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1992:Q3,55.01,59.8,75.3,114.05,112.07,47.51,54.33,60.49,57.86,44.52,28.73,93.46,151.44,152.44,59.49,44.93,53.22,47.28,64.89,64.8,48.86,,81.38
1992:Q4,55.15,59.6,75.69,112.48,112.55,45.76,53.62,58.58,57.45,43.21,28.78,93.73,149.16,150.54,59.02,45.01,52.4,47.64,60.24,64.84,49.32,,80.91
1993:Q1,55.48,59.72,76.82,110.58,113.25,45.25,52.76,54.32,56.9,43.29,28.86,91.96,146.7,147.34,57,45.32,50.52,47.78,55.61,64.61,48.9,,80.25
1993:Q2,55.37,61.11,76.8,109.07,113.89,44.69,52.49,53.33,56.59,43.01,28.88,90.77,145.04,142.65,56.39,46.15,51.99,48.5,54.47,64.79,48.19,,79.89
1993:Q3,55.25,61.19,78.02,104.88,114.32,47.04,52.1,54.91,56.21,43.15,28.63,88.17,143.22,139.26,55.97,47.05,52.79,49.11,53.79,65,48.27,,79.55
1993:Q4,55.51,62.41,77.41,105.64,114.85,49.06,51.91,53.35,55.95,42.66,29.33,86.24,142.32,135.37,55.63,47.96,54.02,50.34,54.55,65.27,47.96,,79.34
1994:Q1,56.09,63.02,77.72,107.75,115.19,51.53,51.21,56.01,56,43.34,30.16,84.44,141.3,130.69,56.09,49,56.34,51.15,55.35,65.49,48.74,,79.23
1994:Q2,56.42,64.02,78.31,107.94,115.73,50.97,49.93,55.21,55.78,43.48,29.41,82.75,139.97,127.47,55.91,49.61,55.95,53.03,55.77,65.47,49.34,,78.91
1994:Q3,57.03,64.47,77.92,108.23,116.2,50.37,50.04,55.11,55.36,43.43,30.06,81.11,139.68,124.8,55.73,51.12,57.46,54.85,55.92,65.14,49.54,,78.63
1994:Q4,56.56,64.25,78.13,106.41,116.5,50.5,49.85,53.73,55.23,43.49,28.47,80.55,138.97,124.04,55.46,50.39,59.03,55.45,55.35,64.86,49.02,,78.33
1995:Q1,56.7,64.73,77.3,104.62,116.86,51.3,50.36,52.46,55.01,42.65,29.69,79.89,138.69,122.48,54.66,50.24,59.68,56.19,54.71,64.88,49.09,,78.17
1995:Q2,55.58,65.09,75.18,102.96,116.87,52.98,50.55,53.08,54.79,42.69,30.44,78.91,138.54,119.97,54.45,50.3,60.55,56.4,54.63,65.52,48.71,,78.17
1995:Q3,55.2,65.95,74.11,101.51,116.51,54.62,50.02,52.11,54.13,42.14,30.82,77.48,138.12,117.06,54.98,50.85,60.98,57.77,53.84,66.17,48.78,,78.04
1995:Q4,54.97,67.27,73.82,99.6,116.13,55.94,50.26,51.95,54.08,42.05,31.44,76.39,137.52,115.98,55.65,52.17,61.17,58.79,53.63,66.48,48.28,,77.98
1996:Q1,54.53,66.29,73.03,96.65,115.98,56.65,50.24,52.48,54.42,42.67,32.05,75.28,136.9,114.8,57.03,53.25,62.73,61.54,53.69,66.86,48.36,,77.98
1996:Q2,54.86,67.18,72.3,95.85,115.78,57.49,50.36,53.4,54.61,41.91,34.16,73.79,135.82,112.83,57.78,54.78,63.52,62.59,53.7,66.53,47.46,,77.55
1996:Q3,54.95,66.43,71.56,96.24,115.33,59.12,49.27,53.84,55.15,42.61,35.54,72.12,135.24,110.55,58.14,55.87,64.93,62.65,54.24,66.45,46.69,,77.29
1996:Q4,54.9,68.05,71.32,93.94,114.83,60.86,50.16,55.46,54.87,44.06,35.88,70.71,134.59,110.04,58.35,57.43,66.48,63.48,54.95,66.59,45.45,,77.28
1997:Q1,55.05,65.34,71.88,92.23,113.83,62.5,50.22,56.54,53.23,45.41,37.03,68.68,134.11,110.66,58.67,58.96,66.02,64.59,55.87,66.77,45.46,,77.15
1997:Q2,55.48,67.7,72.29,91.43,113.59,63.62,51.27,58.62,54.52,45.33,38.94,67.73,131.83,110.06,58.91,60.05,68.09,65.41,56.46,67.18,45.88,,77.18
1997:Q3,56.31,68.28,73.68,91.39,112.34,64.74,51.37,61.17,54.05,46.13,40.37,67.36,131.42,108.27,59.08,60.87,69.69,65.49,57.23,67.84,47.79,,77.4
1997:Q4,57.15,69.01,73.65,91.18,111.95,65.28,50.1,61.62,54.31,46.65,44.58,67.25,131.19,105.44,59.55,62.26,70.58,65.36,58.26,68.54,48.99,,77.62
1998:Q1,58.25,69.9,74.14,91.31,111.73,66.31,50.52,63.05,53.91,48.35,46.06,67.51,130.88,99.19,59.53,63.5,71.34,64.57,60.04,69.49,50.37,,77.97
