column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,south_africa,column_w,aggregate_rpdi
1981:Q3,74.38098006331646,76.98172591898236,80.59862157390818,75.96760700089708,73.24849483514627,75.27691582227393,68.67908695341742,59.662200722438875,73.37504181027492,54.02076599737482,54.25121776813968,81.97073611367952,72.42774445633295,32.712676273792546,54.03754075810369,75.48911168066863,57.63174305550975,75.35614782393235,74.60332192855458,63.71535686613695,96.77383759196663,,67.43045110062687
1981:Q4,75.32606084335387,76.5223610520018,81.13426204084345,76.24853628703526,72.61190488088415,75.58732597232785,68.56464468544894,60.28331973655004,73.36915356144185,53.96549151504557,53.56113277332815,81.8888449961962,72.76216833058254,33.20002915261668,55.76124753080545,74.94182362810346,58.398597759727444,76.17386709148576,74.20086590123141,63.62999559307079,97.15327669317654,,67.43065890444461
1982:Q1,74.75147418506515,75.86005310504717,82.20189461814202,76.54822500098592,71.99494323649502,78.33153565459018,68.68178787794218,61.27909887939177,73.8180730276942,53.738403030185175,51.81668339201943,80.95184845201999,73.09405549316186,34.48966441731923,57.06992247052773,75.15716297566934,58.33855458799984,77.42618320008684,73.40549734175463,63.51108989568046,99.34676309268961,,67.44984651188994
1982:Q2,76.10581441266709,75.4045464803102,80.64825296121339,76.50826697157936,71.49058346295925,78.63237434285561,68.54541969836865,61.85896121423471,73.66518964129658,54.58801068413162,50.96706448014569,81.39353066148377,73.82905921242502,34.95194891858504,58.43088131719768,75.27904617563492,57.85572912091683,75.78147327113933,73.03325400975129,63.754550245995965,95.88402109540071,,67.59028126486213
1982:Q3,74.17944349472138,75.01001129483232,79.63211289391506,76.14725010759724,70.83465153685005,78.74386147720284,68.40135040792254,62.475262344714245,74.25547912461987,54.184727356304954,50.36552060003948,80.57350325066068,74.03314195524213,35.43599440773106,59.655098488722814,75.11654112554636,57.21816080920326,74.88583035971233,72.62362686696584,63.852829122755686,94.73230025119241,,67.46475574520036
1982:Q4,74.31430619297201,74.55700506159427,77.57298652644519,76.36348167641188,70.2120400662592,78.5806743398664,68.1828781818442,63.38122013436088,74.28855487811548,53.67271376835673,49.967793975739404,80.27930059368622,74.41173697450175,35.87837763174032,60.28274448792319,74.64882126009823,57.492753350266874,73.44507427860988,72.10199786672682,63.88690741994462,94.06269987274572,,67.33719803339537
1983:Q1,74.30611376525479,74.21488117864253,76.72709841877109,76.04221758983307,70.14360657018558,76.7497785730695,68.2510251888004,64.14798787599523,73.64478321750408,54.27541135817228,49.76145706388267,81.05522809589478,74.88333582089034,36.07196207178593,60.965337312057756,73.07834517520975,57.661900263946166,71.70117907210106,71.75750833766318,64.22431855063266,97.86408740614459,,67.54335275052662
1983:Q2,71.47572158905012,73.8217794340519,75.7896242739005,75.89311185482094,70.2056378193018,76.53376230196095,67.9339247280105,64.81488316229867,73.04543014758639,54.803301734443224,49.65231969011207,81.5581266802222,75.19694260829492,37.054212082533,61.15841365091171,73.12731918175047,58.1164378331517,71.56517249963031,71.38808037500877,64.51220804287024,96.17211824069639,,67.62711811032766
1983:Q3,76.2321117073575,73.51642985240089,79.9752419548196,76.11497582535925,69.82558494018159,76.4391907525288,67.58390768018288,65.15953791238641,72.62903980132957,55.03553241857594,49.635628190572554,81.9422862735701,75.57200701927043,38.28813900487673,61.297717821285026,72.72324887690401,58.38592900291116,71.99257715797917,71.32377704429169,65.29266643990888,95.6815519872884,,68.24392756693146
1983:Q4,74.39504512150417,73.29904442505205,78.14513094980308,76.06770746127317,70.1395410874843,76.3515444857099,67.105991776253,65.26675689519114,72.2477592093921,54.690704327414046,49.64018358103382,81.36198927056218,75.86114482339275,38.93894546502017,60.973067711760734,72.64136360659504,59.02794094897635,72.99877142272427,71.50755370220162,66.4616293762524,96.90128836707126,,68.6167864662854
