column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,croatia,israel,column_y,aggregate
1977:Q4,70.2734305722632,72.7683402368613,74.6152558286318,73.68031784637,70.1355511744217,77.1415836708493,72.8306112197479,51.9731580039847,70.3827122055916,48.6336730404449,52.970978420856,69.5823250138498,66.5356686528326,32.681771525723,41.9646666173092,81.9356625036845,55.9758659718343,69.7145838548846,77.1634931409343,60.4727372644187,96.0413933322913,9.75832915750745,45.4114592889801,,63.54483557838643
1978:Q1,71.2694290502733,73.1896981821935,76.757038154918,75.1113311837454,71.0392558080565,77.7321786681313,73.693568636348,52.6430635907927,72.0283007145863,49.0833883019724,54.3661888306151,69.4784885045957,67.1324516435985,32.6617857503026,42.7118870158805,83.0713901342752,56.7111330495672,70.157586248196,76.6544051701089,60.7626698200614,95.7261339503598,10.0377005826062,45.7259901018735,,64.105357256811
1978:Q2,71.2813464385874,73.6401984888862,75.9562356494326,75.1855663574393,71.519465685231,78.0270298766125,73.8178467347494,53.2996698960752,72.6241454312617,50.0755932895557,55.334225575264,70.4335045156381,67.416570864084,33.3197386057891,43.418874853333,83.1942118078733,56.377694201424,70.4118599451238,76.9429941279985,61.0646418070523,93.8699162030955,10.140864192003,47.3529242270453,,64.44761906017378
1978:Q3,71.954485170868,74.0454749841049,75.3036594625418,75.0988364103614,72.1953039790071,78.0824567711013,73.7582916470747,54.4482311406459,72.9398354580314,51.0947702220207,55.8243425700714,71.3886293983461,67.7180111564177,33.4782776628922,43.7860202304502,83.782443651536,56.9997798808558,71.6944430868014,77.2873840369242,61.2546408844864,94.2096127281347,10.1852485856092,49.3067064087207,,64.78727154797969
1978:Q4,71.693528261211,74.4290225001848,75.6458806076433,74.9264367736991,72.9845041495446,77.9429417577542,73.5543128324296,55.3044665570272,73.4548191828526,51.3174176077535,55.9566968781113,72.3282536220327,68.2618296867355,35.4394072012984,44.130388005937,83.9175552166683,57.2629352889319,72.4504019806313,77.442861263474,61.4489149601736,94.7584848081746,10.1774992223073,50.3350746610259,,65.17933805796196
1979:Q1,72.0892328363333,74.8032631013741,75.4705478855923,74.9873392377498,73.3914434429264,77.544253372454,73.1184156821717,56.0792481556229,73.3496260147891,51.9376598898069,55.7147287780018,73.2094185795895,68.7296981925082,35.1876584971337,44.4693218897934,85.4316798387816,56.2586471540921,74.1426969687109,77.7862660842159,61.6407204186762,96.0073309906558,10.1153455557527,50.6306541300535,,65.45173412192257
1979:Q2,71.7905570101495,75.2017768317967,77.2977111766411,74.9584422605407,73.2732864486141,77.2526536323967,72.7362947718007,57.1346575045321,72.6943181591115,52.5853535532454,55.4609469454501,73.9864937878883,68.7557258029984,34.6036801225701,44.9936639033763,84.6434123149989,56.1946068914613,73.9292537912521,77.4309239105639,61.1481820149557,96.0319874057371,10.0301400703899,49.2907156746934,,65.29321180910874
1979:Q3,71.2572173185534,75.6237236088685,76.2600664560299,75.0157121056496,73.1747704161829,76.9582517903177,72.3067181473965,57.9906985364592,72.3621054451604,52.9239484141508,55.1535299010181,74.635146331481,68.8426555740804,34.9539292271017,45.5828835727501,83.2911489884074,56.494322970962,73.0470884361051,77.0541782470042,61.0541704832972,96.653569837403,9.91945643624902,47.2177003835901,,65.21440187634063
1979:Q4,71.1680311918903,75.9806250817689,77.0432647382999,75.1285163899625,73.370852297603,76.6338641467936,71.8144286887218,58.8361497532873,72.3613981566544,54.3408033220728,54.7559113485654,75.0567900353676,68.8568103089921,34.7647094114777,46.2812098738155,81.3954894415173,56.9537577074163,72.9048575705243,76.7886970530146,60.9794131264428,100.064720177607,9.73910432249481,43.8096042245427,,65.30840775952605
1980:Q1,71.3809177657171,78.1511668939477,76.9112537801631,74.7026219559574,73.6290852930902,76.035004844619,70.9575237709952,59.4848604805837,71.9459076206572,53.5963141485284,53.4163671939716,74.4526233639196,68.4881828521702,31.8139574894203,47.2315811317467,76.8227558659022,57.5327261819052,71.3543639983244,77.7517172982922,60.8102667174221,102.466728883017,9.38986887988337,41.2083377911502,,64.93713128144972
1980:Q2,72.0430907100893,78.0060689037867,76.9202781708862,75.7159487949376,72.7632666679844,75.5868110415751,70.5514779447888,60.033267382015,72.0544449856176,53.4929952029495,53.1390509116577,76.3826480028829,69.1161455260153,31.4171415006008,48.2873230995952,74.3346004239257,57.7991950817561,70.4602481670638,77.8436153396975,60.1083542669589,100.730307223616,9.18759451590752,39.8304725984591,,64.6771430418693
1980:Q3,72.1730675451773,78.0765627466805,76.8705791417675,75.9287351636808,72.4995338061448,75.0866133382342,70.2643185630814,59.9761286951162,72.1270032431256,53.8745212541188,53.0441582339831,76.2590473978099,69.2419820392202,30.7803033224451,49.1869658096951,73.0956684553323,57.8841971474216,70.7499617913956,77.4773477300628,60.4103891194698,99.1487200265989,9.02488287253901,39.549817527869,,64.73926775064028
1980:Q4,72.5532720780254,78.1798057952835,77.75968613502,76.1136314245968,72.5035488426127,74.5346796651621,70.075766259862,59.7390296201241,71.9705164252268,53.579175897971,53.0531932646877,78.0180195343441,69.2835498124401,30.3958101524614,49.7370647587539,72.6252651260697,58.1771877866368,71.5982113821828,76.0000949445838,61.0608315094047,98.9176900489656,8.90942440932601,40.0212398702379,,65.07424158967741
1981:Q1,72.5816765802754,77.9443590748668,78.5429018736338,76.3879230437133,72.6140906629259,73.3169762341772,70.0946179350569,59.4958080311795,71.8335129322093,53.6179805724409,54.9504380319763,79.5398404533022,69.9355373728239,31.8574280202498,50.5728051586388,73.1264973317818,59.2824824684733,73.6945314824191,75.0479663999448,60.8784113238934,98.4286622027573,8.78437740576927,41.7935546838177,,65.25873889964893
